Player,Pos,Age,Tm,G2018,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Steven Adams,C,25,OKC,80,2669,809,0,2,292,760,124,117,76,1108,367.42
Bam Adebayo,C,21,MIA,82,1913,486,3,15,226,597,184,71,65,729,267.28
LaMarcus Aldridge,C,33,SAS,81,2687,1319,10,42,412,744,194,43,107,1727,503.5
Jarrett Allen,C,20,BRK,80,2096,568,6,45,278,672,110,43,120,873,300
Al-Farouq Aminu,PF,28,POR,81,2292,593,96,280,173,610,104,68,33,760,292.58
Giannis Antetokounmpo,PF,24,MIL,72,2358,1247,52,203,686,898,424,92,110,1994,603.65
OG Anunoby,SF,21,TOR,67,1352,404,67,202,62,197,47,46,22,469,163.08
Ryan Arcidiacono,PG,24,CHI,81,1961,418,81,217,102,219,269,65,4,544,209.02
Trevor Ariza,SF,33,TOT,69,2349,736,145,434,164,371,252,91,21,863,322.45
D.J. Augustin,PG,31,ORL,81,2269,677,131,311,209,203,426,52,4,948,315.05
Deandre Ayton,C,20,PHO,71,2183,870,0,4,189,729,125,61,67,1159,364.88
Marvin Bagley III,PF,19,SAC,62,1567,706,30,96,262,471,62,33,59,923,283.85
Harrison Barnes,PF-SF,26,TOT,77,2533,1027,174,441,278,361,115,50,13,1265,384.72
Nicolas Batum,SF,30,CHO,75,2354,562,116,298,89,390,247,71,43,699,274.7
Aron Baynes,C,32,BOS,51,821,223,21,61,62,240,57,12,34,284,111.72
Kent Bazemore,SG,29,ATL,67,1643,691,96,300,175,261,152,89,42,779,270.88
Bradley Beal,SG,25,WAS,82,3028,1609,209,596,448,411,448,121,58,2099,626.3
Malik Beasley,SG,22,DEN,81,1879,737,163,405,66,200,97,55,10,917,281.92
Marco Belinelli,SG,32,SAS,79,1815,690,147,395,124,198,132,35,8,829,266.4
Jordan Bell,C,24,GSW,68,788,192,0,2,41,184,76,20,51,223,94.68
DeAndre' Bembry,SG,24,ATL,82,1931,616,50,173,136,358,202,105,41,687,260.17
Dāvis Bertāns,PF,26,SAS,76,1632,453,145,338,60,264,100,35,33,606,217.28
Patrick Beverley,PG,30,LAC,78,2137,477,112,282,123,388,300,67,43,596,258.98
Bismack Biyombo,C,26,CHO,54,783,156,0,0,91,247,33,11,41,236,92.93
Nemanja Bjelica,PF,30,SAC,77,1788,593,103,257,92,444,147,54,56,741,273.35
Antonio Blakeney,SG,22,CHI,57,829,396,36,91,76,106,42,12,9,418,128.2
Eric Bledsoe,PG,29,MIL,78,2272,971,124,377,236,362,430,116,29,1241,415.45
Bogdan Bogdanović,SG,26,SAC,70,1947,863,134,372,162,243,267,72,15,990,329.32
Bojan Bogdanović,SF,29,IND,81,2573,1051,164,386,305,333,161,69,1,1454,410.85
Devin Booker,SG,22,PHO,64,2242,1255,135,414,454,265,433,56,13,1700,487.6
