Player,Pos,Age,Tm,G2019,puntASTFV2019,G2018,puntASTFV2018,FV%Diff,FVDiff
Steven Adams,C,26,OKC,63,253.58,80,383.1,-0.33808405116157664,-129.52
Bam Adebayo,PF,22,MIA,72,384.55,82,268.63,0.43152291255630426,115.92
LaMarcus Aldridge,C,34,SAS,53,314.6,81,512.95,-0.3866848620723268,-198.35
Kyle Alexander,PF,23,MIA,2,1.05,0,0,0,1.05
Nickeil Alexander-Walker,SG,21,NOP,47,97.42,0,0,0,97.42
Grayson Allen,SG,24,MEM,38,103.7,38,66.7,0.5547226386806596,37
Jarrett Allen,C,21,BRK,70,283.02,80,315.2,-0.10209390862944165,-32.18
Kadeem Allen,SG,27,NYK,10,16.18,19,57.33,-0.7177742892028607,-41.15
Al-Farouq Aminu,PF,29,ORL,18,41.92,81,308.67,-0.864191531408948,-266.75
Justin Anderson,SF,26,BRK,10,15.22,48,69.92,-0.7823226544622426,-54.7
Kyle Anderson,PF,26,MEM,67,156.55,43,132.25,0.18374291115311917,24.3
Ryan Anderson,C,31,HOU,2,3.18,25,30.42,-0.8954635108481263,-27.24
Giannis Antetokounmpo,PF,25,MIL,63,572.65,72,600.38,-0.04618741463739635,-27.73
Kostas Antetokounmpo,PF,22,LAL,5,2.1,2,1.35,0.5555555555555555,0.75
Thanasis Antetokounmpo,SF,27,MIL,20,19.73,0,0,0,19.73
Carmelo Anthony,PF,35,POR,58,296.9,10,47.88,5.200918964076858,249.02
OG Anunoby,SF,22,TOR,69,262.48,67,170.42,0.5401948128153975,92.06
Ryan Arcidiacono,PG,25,CHI,58,98.98,81,190.57,-0.4806107991814031,-91.59
Trevor Ariza,SF,34,TOT,53,167.6,69,317.98,-0.4729228253349268,-150.38
D.J. Augustin,PG,32,ORL,57,181.68,81,281.28,-0.3540955631399317,-99.6
Deandre Ayton,C,21,PHO,38,229.7,71,375.5,-0.3882822902796272,-145.8
Dwayne Bacon,SG,24,CHO,39,84.12,43,97.9,-0.140755873340143,-13.78
Marvin Bagley III,PF,20,SAC,13,61.75,62,299.12,-0.7935611125969511,-237.37
Lonzo Ball,PG,22,NOP,63,294.82,47,186.98,0.5767461760616109,107.84
Mo Bamba,C,21,ORL,62,151.35,47,121.85,0.24210094378334018,29.5
J.J. Barea,PG,35,DAL,29,71.1,38,129.18,-0.44960520204366006,-58.08
Harrison Barnes,PF,27,SAC,72,323.15,77,398.92,-0.18993783214679644,-75.77
RJ Barrett,SG,19,NYK,56,265.28,0,0,0,265.28
Will Barton,SF,29,DEN,58,297.4,43,173.6,0.7131336405529953,123.8
Keita Bates-Diop,SF,24,TOT,44,103.93,30,59.5,0.7467226890756303,44.43
Nicolas Batum,SF,31,CHO,22,44.3,75,266.1,-0.833521232619316,-221.8
Aron Baynes,C,33,PHO,42,165.6,51,114.82,0.4422574464379028,50.78
Kent Bazemore,SF-SG,30,TOT,68,230.48,67,273.55,-0.15744836410162683,-43.07
Darius Bazley,PF,19,OKC,61,145.33,0,0,0,145.33
