Player,Pos,Age,Tm,G2019,GS,MP,FG,FGA,FGpct,3P,3PA,3Ppct,2P,2PA,2Ppct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,zAge,zGPlayed,zMP,zFG,zFGA,zFGpct,z3P,z3PA,z3Ppct,z2P,z2PA,z2Ppct,zeFGpct,zFT,zFTA,zFTpct,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV,puntASTFV
Steven Adams,C,26,OKC,63,63,1680,283,478,0.592,1,3,0.333,282,475,0.594,0.593,117,201,0.582,207,376,583,146,51,67,94,122,684,0.11,0.91,0.98,0.78,0.38,1.34,-0.87,-0.93,0.25,1.42,1.16,0.71,0.8,0.51,0.99,-0.6,2.44,0.43,0.76,1.92,0.55,249.18,253.58
Bam Adebayo,PF,22,MIA,72,72,2417,440,790,0.557,2,14,0.143,438,776,0.564,0.558,264,382,0.691,176,559,735,368,82,93,204,182,1146,-0.86,1.31,2,1.81,1.34,1.02,-0.85,-0.85,-1.06,2.75,2.53,0.47,0.47,2.17,2.64,-0.08,3.36,2.39,1.91,2.98,1.64,397.85,384.55
LaMarcus Aldridge,C,34,SAS,53,53,1754,391,793,0.493,61,157,0.389,330,636,0.519,0.532,158,191,0.827,103,289,392,129,36,87,74,128,1001,2.05,0.47,1.08,1.49,1.35,0.44,0.22,0.14,0.64,1.83,1.9,0.1,0.23,0.98,0.9,0.56,1.29,0.28,0.2,2.73,1.3,307.62,314.6
Kyle Alexander,PF,23,MIA,2,0,13,1,2,0.5,0,0,0,1,2,0.5,0.5,0,0,0,2,1,3,0,0,0,1,1,2,-0.62,-1.78,-1.32,-1.07,-1.09,0.5,-0.89,-0.95,-2.04,-0.97,-0.99,-0.05,-0.07,-0.81,-0.84,-3.34,-1.07,-0.86,-1.14,-0.8,-1.04,0.98,1.05
Nickeil Alexander-Walker,SG,21,NOP,47,1,591,98,266,0.368,46,133,0.346,52,133,0.391,0.455,25,37,0.676,9,75,84,89,17,8,54,57,267,-1.11,0.21,-0.52,-0.43,-0.28,-0.7,-0.05,-0.02,0.34,-0.53,-0.39,-0.93,-0.48,-0.53,-0.51,-0.15,-0.58,-0.08,-0.51,-0.47,-0.42,100.42,97.42
Grayson Allen,SG,24,MEM,38,0,718,117,251,0.466,57,141,0.404,60,110,0.545,0.58,39,45,0.867,8,77,85,52,10,2,33,53,330,-0.38,-0.19,-0.34,-0.31,-0.32,0.19,0.15,0.03,0.74,-0.47,-0.5,0.31,0.68,-0.37,-0.43,0.75,-0.57,-0.4,-0.77,-0.72,-0.28,101.7,103.7
Jarrett Allen,C,21,BRK,70,64,1852,302,465,0.649,0,6,0,302,459,0.658,0.649,171,270,0.633,216,455,671,110,40,92,77,162,775,-1.11,1.22,1.22,0.91,0.34,1.86,-0.89,-0.91,-2.04,1.59,1.09,1.23,1.32,1.12,1.62,-0.36,2.98,0.11,0.35,2.94,0.77,269.8,283.02
Kadeem Allen,SG,27,NYK,10,0,117,19,44,0.432,5,16,0.313,14,28,0.5,0.489,7,11,0.636,2,7,9,21,5,2,8,7,50,0.35,-1.43,-1.17,-0.95,-0.96,-0.12,-0.8,-0.84,0.11,-0.86,-0.87,-0.05,-0.17,-0.73,-0.74,-0.34,-1.03,-0.68,-0.95,-0.72,-0.93,17.6,16.18
Al-Farouq Aminu,PF,29,ORL,18,2,380,25,86,0.291,9,36,0.25,16,50,0.32,0.343,19,29,0.655,24,63,87,21,18,8,17,27,78,0.83,-1.07,-0.81,-0.91,-0.83,-1.41,-0.73,-0.7,-0.32,-0.84,-0.77,-1.51,-1.52,-0.59,-0.58,-0.25,-0.56,-0.68,-0.47,-0.47,-0.87,39.88,41.92
Justin Anderson,SF,26,BRK,10,1,107,10,38,0.263,6,29,0.207,4,9,0.444,0.342,2,4,0.5,1,20,21,8,0,6,4,13,28,0.11,-1.43,-1.19,-1.01,-0.98,-1.66,-0.78,-0.75,-0.62,-0.94,-0.96,-0.5,-1.53,-0.79,-0.81,-0.98,-0.96,-0.79,-1.14,-0.55,-0.98,14.57,15.22
