Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,STL,BLK,PTS,puntASTFV
Steven Adams,C,26,OKC,63,1680,478,1,3,201,583,51,67,684,236.05
Bam Adebayo,PF,22,MIA,72,2417,790,2,14,382,735,82,93,1146,361.8
LaMarcus Aldridge,C,34,SAS,53,1754,793,61,157,191,392,36,87,1001,301.72
Jarrett Allen,C,21,BRK,70,1852,465,0,6,270,671,40,92,775,262.95
Kyle Anderson,PF,26,MEM,67,1330,331,24,85,78,285,54,37,390,147.15
Giannis Antetokounmpo,PF,25,MIL,63,1917,1238,89,293,629,856,61,66,1857,548.08
Carmelo Anthony,PF,35,POR,58,1902,782,87,226,161,368,49,27,895,285.8
OG Anunoby,SF,22,TOR,69,2066,566,89,228,102,364,96,45,733,249.85
Ryan Arcidiacono,PG,25,CHI,58,930,220,54,138,38,110,27,3,261,95.48
Trevor Ariza,SF,34,TOT,53,1493,324,77,207,74,246,69,15,423,159.35
D.J. Augustin,PG,32,ORL,57,1420,461,70,201,181,122,34,1,599,177.75
Lonzo Ball,PG,22,NOP,63,2025,687,148,395,76,383,88,38,745,282.1
Mo Bamba,C,21,ORL,62,878,286,37,107,46,302,23,86,332,141.08
Harrison Barnes,PF,27,SAC,72,2482,793,102,268,267,355,43,12,1046,312.9
RJ Barrett,SG,19,NYK,56,1704,727,63,197,254,279,55,17,803,256.5
Will Barton,SF,29,DEN,58,1916,738,108,288,133,365,61,29,874,286.02
Kent Bazemore,SF-SG,30,TOT,68,1688,534,84,244,147,294,74,40,597,220.28
Darius Bazley,PF,19,OKC,61,1130,317,49,141,62,246,23,41,342,137.58
Bradley Beal,SG,26,WAS,57,2053,1303,170,481,457,242,71,23,1741,474.38
Malik Beasley,SG,23,TOT,55,1209,534,107,276,66,148,40,8,615,196.28
Marco Belinelli,SG,33,SAS,57,883,314,67,178,58,99,12,1,361,119.43
Dāvis Bertāns,PF,27,WAS,54,1583,610,200,472,122,245,37,33,834,275.18
Patrick Beverley,PG,31,LAC,51,1342,341,80,206,47,266,54,25,405,159.48
Goga Bitadze,C,20,IND,54,471,150,8,42,33,106,10,37,172,65.47
Bismack Biyombo,C,27,CHO,53,1029,278,0,0,151,308,10,49,393,134.33
Nemanja Bjelica,PF,31,SAC,72,2011,653,134,320,84,458,62,40,831,289.52
Eric Bledsoe,PG,30,MIL,61,1646,703,74,215,214,282,57,26,911,270.45
Bogdan Bogdanović,SG,27,SAC,61,1766,766,164,441,116,207,64,15,924,291.8
Bojan Bogdanović,SF,30,UTA,63,2083,935,189,457,277,259,34,7,1275,366.85
Isaac Bonga,SF,20,WAS,66,1250,234,25,71,85,222,45,22,330,118.43
Devin Booker,SG,23,PHO,70,2512,1283,141,398,509,297,49,18,1863,484.85
Chris Boucher,PF,27,TOR,62,819,299,38,118,116,277,22,61,411,150.33
Tony Bradley,C,22,UTA,58,663,189,3,3,46,267,14,33,285,101.02
Mikal Bridges,SF,23,PHO,73,2042,484,70,194,122,292,102,46,667,221.65
Miles Bridges,SF,21,CHO,65,1995,753,99,300,131,362,40,48,843,283.22
