Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
Steven Adams,C,26,OKC,63,1680,478,1,3,475,201,583,146,51,67,684,405.175
Bam Adebayo,PF,22,MIA,72,2417,790,2,14,776,382,735,368,82,93,1146,613.0250000000001
LaMarcus Aldridge,C,34,SAS,53,1754,793,61,157,636,191,392,129,36,87,1001,453.52500000000003
Nickeil Alexander-Walker,SG,21,NOP,47,591,266,46,133,133,37,84,89,17,8,267,152.65
Jarrett Allen,C,21,BRK,70,1852,465,0,6,459,270,671,110,40,92,775,446.1
Kyle Anderson,PF,26,MEM,67,1330,331,24,85,246,78,285,162,54,37,390,294.525
Giannis Antetokounmpo,PF,25,MIL,63,1917,1238,89,293,945,629,856,354,61,66,1857,683.8000000000001
Carmelo Anthony,PF,35,POR,58,1902,782,87,226,556,161,368,85,49,27,895,454.55
OG Anunoby,SF,22,TOR,69,2066,566,89,228,338,102,364,108,96,45,733,455.175
Ryan Arcidiacono,PG,25,CHI,58,930,220,54,138,82,38,110,96,27,3,261,198.4
Trevor Ariza,SF,34,TOT,53,1493,324,77,207,117,74,246,91,69,15,423,315.59999999999997
D.J. Augustin,PG,32,ORL,57,1420,461,70,201,260,181,122,262,34,1,599,335.575
Lonzo Ball,PG,22,NOP,63,2025,687,148,395,292,76,383,438,88,38,745,502.9000000000001
Mo Bamba,C,21,ORL,62,878,286,37,107,179,46,302,42,23,86,332,221.64999999999998
Harrison Barnes,PF,27,SAC,72,2482,793,102,268,525,267,355,159,43,12,1046,557.35
RJ Barrett,SG,19,NYK,56,1704,727,63,197,530,254,279,143,55,17,803,414.90000000000003
Will Barton,SF,29,DEN,58,1916,738,108,288,450,133,365,212,61,29,874,469.59999999999997
Keita Bates-Diop,SF,24,TOT,44,744,234,34,103,131,75,127,30,19,24,288,171.30000000000004
Aron Baynes,C,33,PHO,42,934,381,59,168,213,75,237,67,10,23,481,240.9
Kent Bazemore,SF-SG,30,TOT,68,1688,534,84,244,290,147,294,93,74,40,597,383.94999999999993
Kent Bazemore,SF,30,POR,43,1111,326,56,171,155,72,172,61,45,31,340,243.2
Darius Bazley,PF,19,OKC,61,1130,317,49,141,176,62,246,41,23,41,342,249.075
Bradley Beal,SG,26,WAS,57,2053,1303,170,481,822,457,242,347,71,23,1741,635.2
Malik Beasley,SG,23,TOT,55,1209,534,107,276,258,66,148,75,40,8,615,301.1
Malik Beasley,SG,23,DEN,41,746,301,58,161,140,38,77,48,31,6,325,177.87500000000003
Marco Belinelli,SG,33,SAS,57,883,314,67,178,136,58,99,69,12,1,361,205.89999999999998
DeAndre' Bembry,SG,25,ATL,43,915,228,15,65,163,48,152,81,55,19,249,193.9
Dāvis Bertāns,PF,27,WAS,54,1583,610,200,472,138,122,245,92,37,33,834,408.92500000000007
Patrick Beverley,PG,31,LAC,51,1342,341,80,206,135,47,266,183,54,25,405,305.12500000000006
Khem Birch,C,27,ORL,48,922,143,0,1,142,101,220,50,20,23,212,186.00000000000006
Goga Bitadze,C,20,IND,54,471,150,8,42,108,33,106,23,10,37,172,112.475
Bismack Biyombo,C,27,CHO,53,1029,278,0,0,278,151,308,50,10,49,393,237.70000000000005
Nemanja Bjelica,PF,31,SAC,72,2011,653,134,320,333,84,458,203,62,40,831,486.025
Eric Bledsoe,PG,30,MIL,61,1646,703,74,215,488,214,282,328,57,26,911,437.77500000000003
Bogdan Bogdanović,SG,27,SAC,61,1766,766,164,441,325,116,207,207,64,15,924,452.62499999999994
Bojan Bogdanović,SF,30,UTA,63,2083,935,189,457,478,277,259,131,34,7,1275,541.2
Isaac Bonga,SF,20,WAS,66,1250,234,25,71,163,85,222,76,45,22,330,255.99999999999997
Devin Booker,SG,23,PHO,70,2512,1283,141,398,885,509,297,456,49,18,1863,714.65
Chris Boucher,PF,27,TOR,62,819,299,38,118,181,116,277,26,22,61,411,220.275
Ky Bowman,PG,22,GSW,45,1015,321,33,107,214,41,121,131,44,10,335,223.35000000000002
Avery Bradley,SG,29,LAL,49,1186,383,63,173,210,24,115,63,43,5,423,254.57500000000005
Tony Bradley,C,22,UTA,58,663,189,3,3,186,46,267,23,14,33,285,164.52500000000006
Mikal Bridges,SF,23,PHO,73,2042,484,70,194,290,122,292,129,102,46,667,434.97499999999997
Miles Bridges,SF,21,CHO,65,1995,753,99,300,453,131,362,114,40,48,843,467.29999999999995
Malcolm Brogdon,PG,27,IND,54,1666,744,75,230,514,186,262,381,35,10,893,438.6
Dillon Brooks,SG,24,MEM,73,2112,1068,147,411,657,203,243,150,63,27,1181,538.325
Bruce Brown,SG,23,DET,58,1634,447,33,96,351,119,274,230,63,29,517,359.2
Jaylen Brown,SF,23,BOS,57,1934,887,129,338,549,243,364,118,65,20,1159,507.775
Sterling Brown,SF,24,MIL,52,767,256,44,136,120,40,183,51,29,7,266,181.975
Troy Brown Jr.,SG,20,WAS,69,1782,622,61,179,443,139,383,178,85,7,716,421.37500000000006
Jalen Brunson,PG,23,DAL,57,1022,388,43,120,268,75,134,188,22,4,466,249.72500000000002
Thomas Bryant,C,22,WAS,46,1147,418,37,91,327,116,331,83,25,49,609,293.77500000000003
Alec Burks,SG,28,TOT,66,1754,768,116,301,467,265,282,189,62,17,993,460.09999999999997
Alec Burks,SG,28,GSW,48,1390,601,84,224,377,224,226,151,50,17,773,362.29999999999995
Jimmy Butler,SF,30,MIA,58,1959,758,29,119,639,525,386,350,103,32,1157,527.925
Kentavious Caldwell-Pope,SG,26,LAL,69,1762,507,92,239,268,102,142,111,57,14,645,377.375
Jevon Carter,PG,24,PHO,58,945,243,62,146,97,27,118,84,47,17,287,207.67499999999998
Vince Carter,SF,43,ATL,60,876,304,61,202,102,29,124,48,23,25,298,201.65
Wendell Carter Jr.,C,20,CHI,43,1256,343,6,29,314,152,405,51,33,36,484,290.07500000000005
Michael Carter-Williams,SG,28,ORL,45,833,260,22,75,185,95,147,109,49,22,323,198.45
Alex Caruso,PG,25,LAL,64,1175,291,40,120,171,94,123,124,70,18,349,252.52500000000003
Willie Cauley-Stein,C,26,TOT,54,1097,302,0,1,301,66,315,70,49,61,390,250.82500000000002
Willie Cauley-Stein,C,26,GSW,41,940,257,0,0,257,57,255,60,45,50,323,211.625
Marquese Chriss,PF,22,GSW,59,1196,385,8,39,346,156,365,114,39,62,548,299.475
Gary Clark,PF,25,TOT,42,567,133,39,111,22,10,110,17,6,22,156,123.82500000000002
Brandon Clarke,PF,23,MEM,58,1300,479,23,64,415,112,345,81,32,48,700,325.40000000000003
Jordan Clarkson,SG,27,TOT,71,1705,867,152,413,454,165,187,136,46,16,1078,455.75000000000006
Jordan Clarkson,SG,27,UTA,42,1039,541,93,254,287,79,118,66,29,8,655,275.725
John Collins,PF,22,ATL,41,1363,605,59,147,458,150,416,60,31,66,885,372.3
Mike Conley,PG,32,UTA,47,1363,567,96,256,311,139,151,208,36,5,675,341.45000000000005
Pat Connaughton,SG,27,MIL,67,1243,301,55,166,135,40,284,107,25,31,360,275.3
Quinn Cook,PG,26,LAL,44,508,214,31,85,129,14,51,49,12,2,224,121.55000000000001
Robert Covington,PF-C,29,TOT,70,2137,723,161,480,243,124,463,88,115,93,870,521.225
Robert Covington,PF,29,MIN,48,1411,496,108,312,184,94,287,56,80,45,615,346.575
Torrey Craig,SF,29,DEN,58,1072,269,45,138,131,36,189,47,23,36,315,228.9
Jae Crowder,SF,29,TOT,65,1875,563,135,394,169,125,384,161,72,24,684,442.5999999999999
Jae Crowder,SF,29,MEM,45,1322,399,78,266,133,95,277,125,47,14,447,307.675
Jarrett Culver,SG,20,MIN,63,1506,569,66,221,348,117,212,110,57,38,580,347.77500000000003
Seth Curry,SG,29,DAL,64,1576,574,145,321,253,97,145,124,38,9,793,380
Troy Daniels,SG,28,TOT,47,532,186,46,132,54,16,52,17,11,3,200,121.97499999999998
Troy Daniels,SG,28,LAL,41,456,158,40,112,46,16,46,14,8,3,174,104.925
Anthony Davis,PF,26,LAL,62,2131,1096,72,218,878,525,577,200,91,143,1618,636.1750000000001
Terence Davis,SG,22,TOR,72,1209,436,94,242,194,59,237,115,39,14,543,301.17499999999995
Dewayne Dedmon,C,30,TOT,44,774,255,22,107,148,36,249,22,25,41,256,183.64999999999998
Matthew Dellavedova,PG,29,CLE,57,821,175,21,91,84,37,75,180,20,2,177,172.39999999999998
DeMar DeRozan,SF,30,SAS,68,2316,1049,9,35,1014,451,375,380,70,20,1504,610.55
Cheick Diallo,C,23,PHO,47,479,142,1,3,139,39,131,22,11,12,219,114.55
Hamidou Diallo,SF,21,OKC,46,896,296,16,57,239,63,167,36,37,9,318,196.85
Gorgui Dieng,C,30,TOT,63,1096,364,54,152,212,101,354,73,51,59,464,281.22499999999997
Gorgui Dieng,C,30,MIN,46,778,277,46,120,157,59,256,58,37,42,341,203.79999999999995
Spencer Dinwiddie,SG,26,BRK,64,1994,1021,123,400,621,446,221,432,40,21,1318,566.0999999999999
Donte DiVincenzo,SG,23,MIL,66,1520,510,83,247,263,86,318,154,85,20,610,367.40000000000003
Luka Dončić,PG,20,DAL,61,2047,1255,171,541,714,562,573,538,62,14,1759,693.1
Damyean Dotson,SG,25,NYK,48,836,290,59,163,127,33,91,57,23,4,321,190.3
Goran Dragić,PG,33,MIA,59,1663,724,124,338,386,246,187,301,40,10,953,442.15
Andre Drummond,C,26,TOT,57,1879,784,5,35,749,294,864,152,109,93,1010,520.95
Andre Drummond,C,26,DET,49,1654,679,1,21,658,255,775,138,97,82,870,456.925
Jared Dudley,SF,34,LAL,45,364,60,18,42,18,2,52,28,15,3,68,74.725
Kris Dunn,PG,25,CHI,51,1269,342,29,112,230,54,186,173,101,17,373,278.29999999999995
Joel Embiid,C,25,PHI,51,1506,801,57,172,629,435,593,152,45,65,1172,473.425
James Ennis,SF,29,TOT,69,1265,359,55,169,190,98,245,63,35,22,454,285.44999999999993
James Ennis,SF,29,PHI,49,776,226,37,106,120,61,150,41,23,14,285,177.77500000000003
Derrick Favors,C,28,NOP,51,1243,339,1,7,332,71,501,81,30,46,459,294.40000000000003
Terrance Ferguson,SF,21,OKC,56,1257,220,49,168,52,20,74,51,27,17,220,228.325
Bruno Fernando,C,21,ATL,56,713,199,5,37,162,51,198,49,18,17,240,163.175
Yogi Ferrell,PG,26,SAC,50,530,188,24,79,109,42,49,69,18,4,218,126.15000000000002
Dorian Finney-Smith,PF,26,DAL,71,2120,522,114,303,219,108,405,114,45,39,678,460.0249999999999
Bryn Forbes,SG,26,SAS,63,1579,581,148,381,200,90,126,108,33,0,707,370.05
Evan Fournier,SG,27,ORL,66,2076,929,173,434,495,220,171,209,71,15,1221,532.9
De'Aaron Fox,PG,22,SAC,51,1634,815,54,185,630,342,196,348,74,25,1077,455.125
Markelle Fultz,PG,21,ORL,72,1996,772,36,135,637,159,238,369,90,11,870,473.20000000000005
Daniel Gafford,C,21,CHI,43,609,134,0,0,134,60,106,21,13,56,220,132.8
Danilo Gallinari,PF,31,OKC,62,1834,817,178,439,378,298,322,119,42,5,1160,497.29999999999995
Langston Galloway,SG,28,DET,66,1702,542,132,331,211,85,149,101,48,11,677,380.70000000000005
Darius Garland,PG,20,CLE,59,1824,699,105,296,403,72,111,229,42,4,728,410.625
Marc Gasol,C,35,TOR,44,1161,279,57,148,131,49,275,147,34,38,331,262.625
Rudy Gay,PF,33,SAS,67,1461,596,74,220,376,136,362,114,35,33,726,373
Paul George,SF,29,LAC,48,1419,782,157,381,401,217,272,185,68,20,1033,425.87500000000006
Taj Gibson,C,34,NYK,62,1025,286,4,14,272,56,267,52,27,30,379,229.575
Harry Giles,PF,21,SAC,46,667,251,0,2,249,49,188,60,22,18,316,164.62499999999997
Shai Gilgeous-Alexander,SG,21,OKC,70,2428,1015,87,251,764,357,412,232,79,47,1331,612.2
Rudy Gobert,C,27,UTA,68,2333,557,0,0,557,403,916,101,51,135,1026,571.0250000000001
Aaron Gordon,PF,24,ORL,62,2017,767,73,237,530,224,475,228,51,39,894,497.2750000000001
Devonte' Graham,PG,24,CHO,63,2211,963,218,585,378,233,212,471,62,15,1145,585.5999999999999
