Tm,G,W,L,Pass NY/A,Rush Y/A,Sc%,TO%,TotalTDspG,PtspG,YdspG,PlyspG,TOspG,1stDpG,CmppG,AttpG,PassYdspG,PassTDspG,IntpG,Pass1stDpG,RushAttpG,RushYdspG,RushTDspG,Rush1stDpG,#Dr,Plays,AvgPlaysperDrive,AvgYdsperDrive,AvgStartperDrive,zRushTDspG,zRush1stDpG,DrivespG
Kansas City Chiefs,8,7,1,7.6,4.5,51.3,6.3,3.5,31.62,410.5,65.25,0.62,23.62,24.5,36.38,286.38,2.62,0.12,15,27.5,124.12,0.88,6.88,80,536,6.7,41,Own 29.2,-0.43,-0.05,10
Green Bay Packers,8,6,2,7.4,4.6,50.6,3.7,3.75,31.62,395.88,64,0.38,22.88,23.62,35,269.25,3,0.25,14.38,27.75,126.62,0.75,6.25,81,523,6.5,39.1,Own 28.9,-0.81,-0.49,10.12
Tampa Bay Buccaneers,8,6,2,6.7,4,47.3,7.7,3.5,30.88,368.38,65.38,1,22.38,25.5,38.62,265.75,2.5,0.5,14.12,25.5,102.62,1,5.5,91,540,5.9,32.3,Own 31.1,-0.08,-1.01,11.38
Seattle Seahawks,7,6,1,7.4,5,46.8,8.9,4.57,34.29,414.43,64.43,1,24.43,26.14,36.57,289,3.71,0.86,15.29,25.14,125.43,0.86,7.43,79,456,5.8,36.7,Own 32.1,-0.49,0.33,11.29
San Francisco 49ers,9,4,5,6.9,4.4,41.5,12.8,3.11,25,374,63.78,1.44,22.11,23.11,34.44,255,1.44,1,13.56,26.78,119,1.67,6.44,94,586,6.2,35.9,Own 27.4,1.89,-0.36,10.44
Pittsburgh Steelers,7,7,0,6,4.1,42.3,9,3.43,30.14,339,65.29,1.14,21.14,24,35.29,221,2.14,0.57,12.29,28.57,118,1.29,6.71,78,466,6,30.3,Own 32.1,0.78,-0.17,11.14
Atlanta Falcons,8,2,6,7,3.8,48.8,8.1,2.75,26.12,401,70.25,0.88,24.38,26.38,39.62,292.38,1.5,0.5,15.88,28.5,108.62,1.25,6.62,86,583,6.8,37.3,Own 28.3,0.66,-0.23,10.75
Tennessee Titans,7,5,2,7.2,5.1,50,5.6,3.71,29.71,407,65.43,0.57,24.29,22.43,33.43,251.43,2.43,0.43,13.86,30.71,155.57,1.29,8.29,72,475,6.6,39.3,Own 29.3,0.78,0.92,10.29
Cleveland Browns,8,5,3,6.4,5,42,12.3,3,25.75,346.75,60.62,1.25,20.75,18.12,29.5,196.75,2,0.88,11.12,29.75,150,1,8,81,497,6.1,34.2,Own 30.1,-0.08,0.72,10.12
New Orleans Saints,7,5,2,7,4.2,50,6.8,3.14,29.43,385.86,66.29,0.71,23.71,26.71,36.57,266.57,1.86,0.43,14.29,28.43,119.29,1.29,8,74,480,6.5,36.6,Own 31.5,0.78,0.72,10.57
Baltimore Ravens,7,5,2,5.9,5.5,43,11.4,2.86,29,358.57,62.86,1.29,19.86,16.71,27.57,179.86,1.71,0.71,10.43,32.57,178.71,1.14,8.43,79,455,5.8,31.8,Own 33.5,0.33,1.02,11.29
Arizona Cardinals,7,5,2,6.9,5.2,44.9,11.5,3.57,29,419.14,68.29,1.29,25.86,24.14,36.14,258.43,1.86,1,13.29,30.86,160.71,1.71,10,78,491,6.3,37.6,Own 26.2,2.01,2.11,11.14
Indianapolis Colts,7,5,2,7.5,3.5,45.8,9.7,2.43,28.29,363.57,63.86,1,22,23.29,33.71,262.57,1.43,0.86,13.29,29,101,1,6.43,72,465,6.5,35.3,Own 31.5,-0.08,-0.37,10.29
Buffalo Bills,8,6,2,7.1,4.1,45.6,12.7,2.88,24.75,372,63.12,1.38,23.62,23.62,35.25,263.38,2,0.62,13.25,26.25,108.62,0.88,8.25,79,523,6.6,37.7,Own 29.6,-0.43,0.9,9.88
Cincinnati Bengals,8,2,5,5.8,3.7,43.7,11.5,2.5,24.25,361.88,72,1.25,24.12,27.75,41.38,260.62,1.38,0.62,16.38,27.12,101.25,1.12,5.88,87,596,6.9,32.9,Own 29.0,0.28,-0.75,10.88
Los Angeles Rams,8,5,3,7,4.4,35.5,11.8,3,24.12,396.38,68.12,1.5,23.5,23.25,35.5,258.62,1.62,0.75,12.88,31.38,137.75,1.38,9.5,93,558,6,34,Own 29.1,1.04,1.76,11.62
Miami Dolphins,7,4,3,6.8,3.6,41.8,11.4,2.57,26.86,324.43,60.29,1.29,20.57,21.71,31.57,226.43,1.57,1,12.29,27.14,98,1,6.14,79,437,5.5,28.7,Own 31.9,-0.08,-0.57,11.29
Las Vegas Raiders,7,4,3,7.1,4.1,52.9,11.8,2.86,26.71,379,66.14,1.14,23.14,23.86,33.57,251.86,2,0.29,12.71,30.71,127.14,0.86,8.14,68,481,7.1,39,Own 27.6,-0.49,0.82,9.71
Philadelphia Eagles,8,3,4,5,4.9,30.2,17.7,2.5,23.25,330,66.5,2.12,21.62,22.5,38.38,211.38,1.5,1.5,11.75,24.12,118.62,1,7,96,544,5.7,27.3,Own 27.3,-0.08,0.03,12
Dallas Cowboys,8,2,6,6.2,4,36.3,19.8,2.5,23.12,398.88,73.75,2.25,25.88,28.38,44,293.12,1.38,0.88,16.25,26.75,105.75,1.12,7.5,91,606,6.7,34.8,Own 24.6,0.28,0.38,11.38
Minnesota Vikings,7,2,5,7.7,5,38.7,16,3.29,26.14,367,57.86,1.71,21.86,17.71,27,223,1.71,1.43,10.71,28.71,144,1.57,9,75,413,5.5,34.1,Own 23.2,1.6,1.42,10.71
Los Angeles Chargers,7,2,5,7.2,4.1,38.1,10.7,2.86,25.57,417.14,72,1.29,23.43,24.29,37,280.43,2.14,0.71,13.43,33,136.71,0.71,7.86,84,520,6.2,34.5,Own 26.2,-0.93,0.63,12
Carolina Panthers,8,3,5,7.2,4.4,48,12,2.25,22.38,361,59.88,1.12,21.62,23.12,32.62,250.38,1.12,0.75,13,25.25,110.62,1.12,6.12,75,500,6.7,38.5,Own 26.6,0.28,-0.58,9.38
Detroit Lions,7,3,4,6.7,4,42.7,8,2.86,25.29,350.14,62.43,0.86,21.43,21.57,35.14,253,1.86,0.71,13.29,24.57,97.14,1,5.43,75,454,6.1,32.7,Own 29.7,-0.08,-1.06,10.71
Houston Texans,7,1,6,7.6,3.9,43.7,9.9,2.71,23.71,367.57,59,1.14,20.14,23.71,34.29,282.71,2.14,0.71,14.29,21.57,84.86,0.57,4.71,71,427,6,36.2,Own 26.6,-1.34,-1.56,10.14
Chicago Bears,8,5,3,5.3,3.8,33.3,11.1,2,20.12,310.62,64.88,1.25,19.5,25.25,39.88,225,1.75,1.25,12.62,22.5,85.62,0.25,5,90,535,5.9,27.6,Own 29.3,-2.29,-1.36,11.25
