Tm,AvgTimeperDrive,AvgPtsperDrive,zPtspG,zYdspG,zPlyspG,zTOspG,z1stDpG,zCmppG,zAttpG,zPassYdspG,zPassTDspG,zIntpG,zPass1stDpG,zRushAttpG,zRushYdspG
Kansas City Chiefs,03:05:00,2.94,1.35,1.23,0.18,-1.44,0.74,0.51,0.34,1.21,1.29,-1.86,1.08,0.08,0.21
Green Bay Packers,03:17:00,3,1.35,0.86,-0.15,-1.96,0.4,0.2,-0.03,0.73,1.87,-1.5,0.75,0.16,0.31
Tampa Bay Buccaneers,02:39:00,2.65,1.2,0.16,0.21,-0.61,0.17,0.86,0.95,0.64,1.11,-0.83,0.61,-0.55,-0.71
Seattle Seahawks,02:41:00,3.03,1.92,1.33,-0.04,-0.61,1.11,1.08,0.39,1.28,2.94,0.15,1.24,-0.66,0.26
San Francisco 49ers,03:01:00,2.44,-0.06,0.3,-0.21,0.34,0.05,0.02,-0.18,0.34,-0.49,0.53,0.31,-0.14,-0.01
Pittsburgh Steelers,02:55:00,2.5,1.04,-0.59,0.19,-0.31,-0.4,0.33,0.05,-0.6,0.57,-0.64,-0.37,0.42,-0.05
Atlanta Falcons,02:57:00,2.49,0.18,0.99,1.48,-0.87,1.09,1.17,1.22,1.37,-0.4,-0.83,1.56,0.4,-0.46
Tennessee Titans,02:45:00,2.94,0.95,1.14,0.22,-1.55,1.05,-0.22,-0.46,0.24,1.01,-1.02,0.47,1.1,1.56
Cleveland Browns,02:53:00,2.44,0.1,-0.39,-1.03,-0.07,-0.57,-1.74,-1.52,-1.27,0.36,0.2,-1,0.8,1.32
New Orleans Saints,03:03:00,2.69,0.89,0.61,0.45,-1.24,0.78,1.28,0.39,0.66,0.14,-1.02,0.7,0.38,0
Baltimore Ravens,02:45:00,2.3,0.8,-0.09,-0.45,0.02,-0.98,-2.24,-2.04,-1.74,-0.08,-0.26,-1.38,1.69,2.55
Arizona Cardinals,02:37:00,2.63,0.8,1.45,0.97,0.02,1.77,0.38,0.28,0.43,0.14,0.53,0.16,1.15,1.78
Indianapolis Colts,03:06:00,2.32,0.65,0.04,-0.19,-0.61,-0,0.08,-0.38,0.55,-0.51,0.15,0.16,0.56,-0.78
Buffalo Bills,03:06:00,2.53,-0.11,0.25,-0.38,0.21,0.74,0.2,0.04,0.57,0.36,-0.5,0.14,-0.31,-0.46
Cincinnati Bengals,03:04:00,2.23,-0.22,-0,1.94,-0.07,0.97,1.65,1.7,0.49,-0.58,-0.5,1.83,-0.04,-0.77
Los Angeles Rams,02:43:00,2.1,-0.24,0.87,0.93,0.47,0.69,0.07,0.1,0.44,-0.22,-0.15,-0.06,1.32,0.79
Miami Dolphins,02:41:00,2.16,0.34,-0.96,-1.12,0.02,-0.66,-0.48,-0.96,-0.45,-0.29,0.53,-0.37,-0.03,-0.91
Las Vegas Raiders,03:22:00,2.76,0.31,0.43,0.41,-0.31,0.52,0.28,-0.42,0.25,0.36,-1.4,-0.15,1.1,0.34
Philadelphia Eagles,02:27:00,1.78,-0.43,-0.82,0.5,1.82,-0.18,-0.2,0.88,-0.87,-0.4,1.88,-0.67,-0.99,-0.03
Dallas Cowboys,02:26:00,1.97,-0.46,0.94,2.39,2.11,1.78,1.87,2.41,1.39,-0.58,0.2,1.76,-0.15,-0.58
Minnesota Vikings,02:34:00,2.39,0.19,0.13,-1.75,0.93,-0.07,-1.89,-2.2,-0.55,-0.08,1.7,-1.23,0.47,1.06
Los Angeles Chargers,02:42:00,2.1,0.07,1.4,1.94,0.02,0.65,0.43,0.51,1.04,0.57,-0.26,0.24,1.83,0.75
Carolina Panthers,03:14:00,2.4,-0.61,-0.03,-1.22,-0.35,-0.18,0.02,-0.68,0.21,-0.97,-0.15,0.01,-0.63,-0.37
Detroit Lions,02:40:00,2.35,0.01,-0.3,-0.56,-0.92,-0.26,-0.53,0.01,0.28,0.14,-0.26,0.16,-0.85,-0.95
Houston Texans,02:39:00,2.38,-0.33,0.14,-1.45,-0.31,-0.85,0.23,-0.22,1.11,0.57,-0.26,0.7,-1.8,-1.47
Chicago Bears,02:43:00,1.71,-1.1,-1.31,0.08,-0.07,-1.15,0.77,1.29,-0.49,-0.02,1.21,-0.2,-1.5,-1.44
Jacksonville Jaguars,02:46:00,2.14,-0.7,-0.48,-0.45,0.32,-0.46,0.73,0.82,0.1,0.14,-0.26,0.31,-1.84,-0.97
Denver Broncos,02:26:00,1.73,-0.91,-0.9,-0.04,1.87,-1.44,-0.83,0.05,-0.8,-0.72,2.07,-1.45,-0.3,-0.27
New York Giants,02:45:00,1.63,-1.52,-1.79,-1.42,1.3,-1.43,-0.68,-0.27,-1.37,-1.34,0.85,-0.67,-1.62,-0.89
New England Patriots,03:00:00,1.77,-1.24,-0.26,-0.41,1.87,0.06,-1.53,-1.58,-1.41,-2.02,2.07,-1.07,1.38,1.73
Washington Football Team,02:35:00,1.7,-1.33,-1.76,-0.11,0.32,-1.24,-0.42,-0.11,-1.39,-0.94,-0.64,-0.91,-0.48,-0.82
New York Jets,02:29:00,1,-2.88,-2.62,-0.9,-0.35,-2.7,-1.39,-0.37,-2.41,-1.91,0.2,-2.68,-0.95,-0.69
