Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
Steven Adams,C,26,OKC,63,1680,478,1,3,475,201,583,146,51,67,684,448.75000000000006
Bam Adebayo,PF,22,MIA,72,2417,790,2,14,776,382,735,368,82,93,1146,675.2500000000001
LaMarcus Aldridge,C,34,SAS,53,1754,793,61,157,636,191,392,129,36,87,1001,498.7
Kyle Alexander,PF,23,MIA,2,13,2,0,0,2,0,3,0,0,0,2,2.8500000000000005
Nickeil Alexander-Walker,SG,21,NOP,47,591,266,46,133,133,37,84,89,17,8,267,168.59999999999997
Grayson Allen,SG,24,MEM,38,718,251,57,141,110,45,85,52,10,2,330,188.84999999999997
Jarrett Allen,C,21,BRK,70,1852,465,0,6,459,270,671,110,40,92,775,494.15000000000003
Kadeem Allen,SG,27,NYK,10,117,44,5,16,28,11,9,21,5,2,50,31.8
Al-Farouq Aminu,PF,29,ORL,18,380,86,9,36,50,29,87,21,18,8,78,89.35
Justin Anderson,SF,26,BRK,10,107,38,6,29,9,4,21,8,0,6,28,28.000000000000004
Kyle Anderson,PF,26,MEM,67,1330,331,24,85,246,78,285,162,54,37,390,329.44999999999993
Ryan Anderson,C,31,HOU,2,14,7,1,5,2,0,7,2,1,0,5,4.6
Giannis Antetokounmpo,PF,25,MIL,63,1917,1238,89,293,945,629,856,354,61,66,1857,733.3000000000001
Kostas Antetokounmpo,PF,22,LAL,5,20,3,0,0,3,2,3,2,0,0,7,5.2
Thanasis Antetokounmpo,SF,27,MIL,20,129,48,0,10,38,17,24,15,7,2,55,36.4
Carmelo Anthony,PF,35,POR,58,1902,782,87,226,556,161,368,85,49,27,895,503.55
OG Anunoby,SF,22,TOR,69,2066,566,89,228,338,102,364,108,96,45,733,508.55
Ryan Arcidiacono,PG,25,CHI,58,930,220,54,138,82,38,110,96,27,3,261,223.1
Trevor Ariza,SF,34,TOT,53,1493,324,77,207,117,74,246,91,69,15,423,354.25
Trevor Ariza,SF,34,SAC,32,791,165,43,122,43,27,146,50,35,7,192,186.44999999999996
Trevor Ariza,SF,34,POR,21,702,159,34,85,74,47,100,41,34,8,231,167.8
D.J. Augustin,PG,32,ORL,57,1420,461,70,201,260,181,122,262,34,1,599,372.50000000000006
Deandre Ayton,C,21,PHO,38,1236,568,3,13,555,89,436,72,26,58,690,353.1
Dwayne Bacon,SG,24,CHO,39,687,244,19,67,177,53,100,52,23,2,224,169.1
Marvin Bagley III,PF,20,SAC,13,334,167,4,22,145,31,97,10,6,12,185,94.45
Lonzo Ball,PG,22,NOP,63,2025,687,148,395,292,76,383,438,88,38,745,555.0999999999999
Mo Bamba,C,21,ORL,62,878,286,37,107,179,46,302,42,23,86,332,245.14999999999998
J.J. Barea,PG,35,DAL,29,450,207,32,85,122,22,53,112,5,2,222,130.14999999999998
Harrison Barnes,PF,27,SAC,72,2482,793,102,268,525,267,355,159,43,12,1046,621.2
RJ Barrett,SG,19,NYK,56,1704,727,63,197,530,254,279,143,55,17,803,458.90000000000003
Will Barton,SF,29,DEN,58,1916,738,108,288,450,133,365,212,61,29,874,518.9499999999998
Keita Bates-Diop,SF,24,TOT,44,744,234,34,103,131,75,127,30,19,24,288,191
Keita Bates-Diop,SF,24,MIN,37,646,206,31,94,112,65,110,30,17,20,251,166.59999999999997
Keita Bates-Diop,SF,24,DEN,7,98,28,3,9,19,10,17,0,2,4,37,24.399999999999995
Nicolas Batum,SF,31,CHO,22,505,81,14,49,32,10,100,66,17,8,79,114.45
Aron Baynes,C,33,PHO,42,934,381,59,168,213,75,237,67,10,23,481,265.3
Kent Bazemore,SF-SG,30,TOT,68,1688,534,84,244,290,147,294,93,74,40,597,427.8499999999999
Kent Bazemore,SF,30,POR,43,1111,326,56,171,155,72,172,61,45,31,340,272.05000000000007
Kent Bazemore,SG,30,SAC,25,577,208,28,73,135,75,122,32,29,9,257,155.80000000000004
Darius Bazley,PF,19,OKC,61,1130,317,49,141,176,62,246,41,23,41,342,278.85
Bradley Beal,SG,26,WAS,57,2053,1303,170,481,822,457,242,347,71,23,1741,687.95
Malik Beasley,SG,23,TOT,55,1209,534,107,276,258,66,148,75,40,8,615,332.70000000000005
Malik Beasley,SG,23,DEN,41,746,301,58,161,140,38,77,48,31,6,325,197.55
Malik Beasley,SG,23,MIN,14,463,233,49,115,118,28,71,27,9,2,290,135.15000000000003
Marco Belinelli,SG,33,SAS,57,883,314,67,178,136,58,99,69,12,1,361,229.39999999999998
Jordan Bell,C-PF,25,TOT,29,256,67,4,12,55,31,81,16,3,10,93,68.95
Jordan Bell,C,25,MIN,27,235,60,2,9,51,29,78,14,2,10,83,63.10000000000001
